"LAF","ST","AST","REV-ST","REV-AST","TMP","channel","start_time","end_time","source_file"
-201.59,-0.0981065,0.0118928,-0.109661,-0.0621051,-107.555,"0","2025-10-26T14:19:22.346Z","2025-10-26T14:31:23.805Z","channel 1_UTC_20251026_141922.346.xml"
-201.336,-0.0509841,-0.0733815,-0.0827521,-0.0718715,58.965,"0","2025-10-26T14:19:22.346Z","2025-10-26T14:31:23.805Z","channel 1_UTC_20251026_141922.346.xml"
-201.082,-0.0795483,-0.083308,0.00442332,-0.0998888,0,"0","2025-10-26T14:19:22.346Z","2025-10-26T14:31:23.805Z","channel 1_UTC_20251026_141922.346.xml"
-200.828,-0.16223,-0.108809,0.174365,-0.13094,-20.591,"0","2025-10-26T14:19:22.346Z","2025-10-26T14:31:23.805Z","channel 1_UTC_20251026_141922.346.xml"
-200.574,-0.160511,-0.115701,0.185958,-0.00671061,-131.335,"0","2025-10-26T14:19:22.346Z","2025-10-26T14:31:23.805Z","channel 1_UTC_20251026_141922.346.xml"
-200.319,-0.00746979,-0.0346384,0.177725,0.0234834,-6.838,"0","2025-10-26T14:19:22.346Z","2025-10-26T14:31:23.805Z","channel 1_UTC_20251026_141922.346.xml"
-200.065,0.136165,0.0460099,0.0672536,-0.0278496,-84.325,"0","2025-10-26T14:19:22.346Z","2025-10-26T14:31:23.805Z","channel 1_UTC_20251026_141922.346.xml"
-199.811,-0.0674417,0.00776136,0.106869,-0.13726,-82.263,"0","2025-10-26T14:19:22.346Z","2025-10-26T14:31:23.805Z","channel 1_UTC_20251026_141922.346.xml"
-199.557,-0.0935984,-0.115617,0.137422,-0.127955,49.647,"0","2025-10-26T14:19:22.346Z","2025-10-26T14:31:23.805Z","channel 1_UTC_20251026_141922.346.xml"
-199.303,0.0255974,-0.262798,0.0346602,-0.103636,0,"0","2025-10-26T14:19:22.346Z","2025-10-26T14:31:23.805Z","channel 1_UTC_20251026_141922.346.xml"
-199.048,-0.0081926,-0.174939,-0.0502334,-0.161793,0,"0","2025-10-26T14:19:22.346Z","2025-10-26T14:31:23.805Z","channel 1_UTC_20251026_141922.346.xml"
-198.794,-0.221552,-0.0544434,0.00118005,-0.0919649,0,"0","2025-10-26T14:19:22.346Z","2025-10-26T14:31:23.805Z","channel 1_UTC_20251026_141922.346.xml"
-198.54,-0.248634,-0.0607472,-0.0458005,-0.0241488,-87.351,"0","2025-10-26T14:19:22.346Z","2025-10-26T14:31:23.805Z","channel 1_UTC_20251026_141922.346.xml"
-198.286,-0.111393,-0.0724951,0.0660561,-0.00151614,-142.093,"0","2025-10-26T14:19:22.346Z","2025-10-26T14:31:23.805Z","channel 1_UTC_20251026_141922.346.xml"
-198.032,0.039575,-0.0800779,0.210809,0.0800847,11.073,"0","2025-10-26T14:19:22.346Z","2025-10-26T14:31:23.805Z","channel 1_UTC_20251026_141922.346.xml"
-197.777,-0.00865746,-0.0497159,0.0328666,-0.0190208,229.167,"0","2025-10-26T14:19:22.346Z","2025-10-26T14:31:23.805Z","channel 1_UTC_20251026_141922.346.xml"
-197.523,-0.138548,-0.0620894,-0.0834145,-0.0941852,-20.283,"0","2025-10-26T14:19:22.346Z","2025-10-26T14:31:23.805Z","channel 1_UTC_20251026_141922.346.xml"
-197.269,-0.148592,0.032065,-0.0342879,0.00718391,-118.702,"0","2025-10-26T14:19:22.346Z","2025-10-26T14:31:23.805Z","channel 1_UTC_20251026_141922.346.xml"
-197.015,-0.0187444,0.0544682,0.123109,0.0770604,108.578,"0","2025-10-26T14:19:22.346Z","2025-10-26T14:31:23.805Z","channel 1_UTC_20251026_141922.346.xml"
-196.761,0.0740457,-0.0685201,0.0516256,0.0204677,-40.057,"0","2025-10-26T14:19:22.346Z","2025-10-26T14:31:23.805Z","channel 1_UTC_20251026_141922.346.xml"
-196.506,0.164114,-0.0640832,0.0181528,-0.086598,112.235,"0","2025-10-26T14:19:22.346Z","2025-10-26T14:31:23.805Z","channel 1_UTC_20251026_141922.346.xml"
-196.252,0.0791666,-0.0695577,-0.0204153,-0.17314,597.712,"0","2025-10-26T14:19:22.346Z","2025-10-26T14:31:23.805Z","channel 1_UTC_20251026_141922.346.xml"
