"LAF","ST","AST","REV-ST","REV-AST","TMP","start_time","depth_m","datetime","label","leg"
29.842,2960.34,2734.71,3194.54,2925.14,10.315,"2026-05-02T11:59:36.502Z",29.842,2026-05-02 11:59:36.502,"2026-05-02 11:59","down"
30.097,2959.19,2733.54,3194.27,2924.92,10.313,"2026-05-02T11:59:36.502Z",30.097,2026-05-02 11:59:36.502,"2026-05-02 11:59","down"
30.351,2958.88,2732.88,3193.69,2924.39,10.301,"2026-05-02T11:59:36.502Z",30.351,2026-05-02 11:59:36.502,"2026-05-02 11:59","down"
30.605,2959.14,2732.96,3193.26,2923.98,10.296,"2026-05-02T11:59:36.502Z",30.605,2026-05-02 11:59:36.502,"2026-05-02 11:59","down"
30.859,2957.93,2732.02,3193.51,2924.23,10.302,"2026-05-02T11:59:36.502Z",30.859,2026-05-02 11:59:36.502,"2026-05-02 11:59","down"
31.113,2955.84,2730.31,3193.62,2924.43,10.311,"2026-05-02T11:59:36.502Z",31.113,2026-05-02 11:59:36.502,"2026-05-02 11:59","down"
31.367,2955.88,2730.14,3193.02,2924.02,10.309,"2026-05-02T11:59:36.502Z",31.367,2026-05-02 11:59:36.502,"2026-05-02 11:59","down"
31.622,2957.37,2731.36,3193.08,2924.29,10.31,"2026-05-02T11:59:36.502Z",31.622,2026-05-02 11:59:36.502,"2026-05-02 11:59","down"
31.876,2956.95,2731.28,3194.43,2925.66,10.324,"2026-05-02T11:59:36.502Z",31.876,2026-05-02 11:59:36.502,"2026-05-02 11:59","down"
32.13,2955.67,2730.16,3195.26,2926.5,10.328,"2026-05-02T11:59:36.502Z",32.13,2026-05-02 11:59:36.502,"2026-05-02 11:59","down"
32.384,2956.07,2730.53,3194.83,2926.26,10.332,"2026-05-02T11:59:36.502Z",32.384,2026-05-02 11:59:36.502,"2026-05-02 11:59","down"
32.638,2956.83,2731.2,3195.03,2926.62,10.336,"2026-05-02T11:59:36.502Z",32.638,2026-05-02 11:59:36.502,"2026-05-02 11:59","down"
32.893,2955.79,2730.11,3196.55,2927.99,10.332,"2026-05-02T11:59:36.502Z",32.893,2026-05-02 11:59:36.502,"2026-05-02 11:59","down"
33.147,2954.56,2728.83,3197.27,2928.5,10.323,"2026-05-02T11:59:36.502Z",33.147,2026-05-02 11:59:36.502,"2026-05-02 11:59","down"
33.401,2955.14,2729.23,3196.38,2927.77,10.322,"2026-05-02T11:59:36.502Z",33.401,2026-05-02 11:59:36.502,"2026-05-02 11:59","down"
