"LAF","ST","AST","REV-ST","REV-AST","TMP","start_time","datetime","label","leg","depth_m","depth_ft"
45.348,3368.89,2966.51,3764.93,3305.45,10.899,"2026-07-06T11:01:19.997Z",2026-07-06 08:01:19.997,"2026-07-06 08:01","down",37.348,122.53281232
45.603,3367.22,2965.07,3765.74,3306.32,10.904,"2026-07-06T11:01:19.997Z",2026-07-06 08:01:19.997,"2026-07-06 08:01","down",37.603,123.36942652
45.857,3366.47,2964.47,3765.21,3305.88,10.907,"2026-07-06T11:01:19.997Z",2026-07-06 08:01:19.997,"2026-07-06 08:01","down",37.857,124.20275988
46.111,3366.17,2964.21,3765.13,3305.63,10.902,"2026-07-06T11:01:19.997Z",2026-07-06 08:01:19.997,"2026-07-06 08:01","down",38.111,125.03609324
46.365,3364.5,2962.95,3765.67,3305.87,10.902,"2026-07-06T11:01:19.997Z",2026-07-06 08:01:19.997,"2026-07-06 08:01","down",38.365,125.8694266
46.619,3363.01,2961.79,3765.05,3305.36,10.907,"2026-07-06T11:01:19.997Z",2026-07-06 08:01:19.997,"2026-07-06 08:01","down",38.619,126.70275996
46.874,3363.19,2961.74,3763.86,3304.63,10.909,"2026-07-06T11:01:19.997Z",2026-07-06 08:01:19.997,"2026-07-06 08:01","down",38.874,127.53937416
47.128,3363.59,2961.82,3764.04,3305.14,10.91,"2026-07-06T11:01:19.997Z",2026-07-06 08:01:19.997,"2026-07-06 08:01","down",39.128,128.37270752
47.382,3362.38,2960.8,3764.84,3306.02,10.916,"2026-07-06T11:01:19.997Z",2026-07-06 08:01:19.997,"2026-07-06 08:01","down",39.382,129.20604088
47.636,3361.26,2959.93,3764.7,3306,10.922,"2026-07-06T11:01:19.997Z",2026-07-06 08:01:19.997,"2026-07-06 08:01","down",39.636,130.03937424
47.89,3361.95,2960.4,3764.57,3306.14,10.925,"2026-07-06T11:01:19.997Z",2026-07-06 08:01:19.997,"2026-07-06 08:01","down",39.89,130.8727076
48.145,3362.71,2961.34,3765.97,3307.55,10.937,"2026-07-06T11:01:19.997Z",2026-07-06 08:01:19.997,"2026-07-06 08:01","down",40.145,131.7093218
48.399,3361.31,2960.97,3767.69,3308.94,10.958,"2026-07-06T11:01:19.997Z",2026-07-06 08:01:19.997,"2026-07-06 08:01","down",40.399,132.54265516
48.653,3360.41,2960.17,3767.96,3308.89,10.951,"2026-07-06T11:01:19.997Z",2026-07-06 08:01:19.997,"2026-07-06 08:01","down",40.653,133.37598852
48.907,3361.35,2960.39,3767.53,3308.36,10.93,"2026-07-06T11:01:19.997Z",2026-07-06 08:01:19.997,"2026-07-06 08:01","down",40.907,134.20932188
49.161,3361.51,2960.4,3767.75,3308.59,10.927,"2026-07-06T11:01:19.997Z",2026-07-06 08:01:19.997,"2026-07-06 08:01","down",41.161,135.04265524
